,# PCS,CumVarExp(%),Linear CumVarExp(%),Poly CumVarExp(%),Rbf CumVarExp(%),Sigmoid CumVarExp(%),Cosine CumVarExp(%)
0,2.0,47.73834215633187,47.73834215633189,42.530457822358635,34.15892741743304,53.96244363089833,41.290634598805745
1,5.0,75.85646019420444,75.85646019420447,74.12931797043109,67.57302332265071,81.15820854872207,74.56823922224486
2,6.0,82.61576843657991,82.61576843657993,79.95274940948653,74.97136199563347,86.49395762974542,80.72152141764026
3,7.0,88.4139028528102,88.41390285281022,85.49245010960087,81.0037550796245,91.3416053163126,86.66366974800751
4,8.0,92.66193769276869,92.66193769276869,89.5504324966234,86.84603137092046,95.68099286297713,91.70375261197138
5,9.0,95.97684131004696,95.97684131004695,93.4439252446624,92.36720812499574,97.51401412011673,95.70598605567886
6,10.0,98.4328073066738,98.43280730667378,97.13059711874456,96.5199127687579,99.03067162953603,98.17619435051438
